Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,44.0,37.0,72.0,46.0,36.0,46.0,37.0,57.0,91.0,30.0,1.0,0.0,0.0,0.0
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,144.0,91.0,188.0,92.0,88.0,113.0,123.0,114.0,159.0,72.0,0.0,0.0,0.0,1.0
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,10.0,7.0,15.0,6.0,4.0,1.0,6.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0
1718218,Narpay tumani,Нарпайский район,Narpai district,78.0,38.0,96.0,50.0,67.0,67.0,48.0,60.0,73.0,33.0,0.0,0.0,0.0,1.0
1718224,Payariq tumani,Пайарыкский район,Payaryk district,87.0,29.0,72.0,28.0,36.0,32.0,27.0,77.0,71.0,39.0,1.0,0.0,0.0,0.0
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,90.0,96.0,127.0,98.0,90.0,104.0,83.0,129.0,163.0,75.0,3.0,1.0,0.0,1.0
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,21.0,18.0,29.0,15.0,15.0,12.0,14.0,21.0,14.0,7.0,0.0,0.0,0.0,0.0
1718233,Samarqand tumani,Самаркандский район,Samarkand district,177.0,106.0,173.0,74.0,151.0,124.0,151.0,158.0,211.0,128.0,0.0,1.0,0.0,0.0
1718235,Nurobod tumani,Нурабадский район,Nurabad district,44.0,23.0,36.0,18.0,17.0,30.0,31.0,35.0,24.0,20.0,0.0,0.0,0.0,1.0
1718236,Urgut tumani,Ургутский район,Urgut district,323.0,247.0,406.0,304.0,409.0,398.0,449.0,457.0,368.0,240.0,3.0,2.0,3.0,3.0
1718238,Tayloq tumani,Тайлякский район,Tailak district,33.0,26.0,73.0,43.0,32.0,51.0,38.0,71.0,79.0,25.0,1.0,0.0,0.0,0.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,391.0,126.0,638.0,460.0,222.0,317.0,241.0,342.0,352.0,238.0,21.0,26.0,21.0,10.0
1722401,Termiz shahri,Город Термез,Termiz  city,19.0,6.0,20.0,13.0,10.0,18.0,6.0,16.0,22.0,13.0,0.0,2.0,0.0,0.0
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,19.0,23.0,35.0,22.0,10.0,21.0,23.0,34.0,32.0,20.0,0.0,0.0,0.0,0.0
1722202,Angor tumani,Ангорский район,Angor district,7.0,2.0,17.0,12.0,8.0,9.0,8.0,10.0,8.0,4.0,2.0,1.0,0.0,2.0
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1722204,Boysun tumani,Байсунский район,Baysun district,49.0,18.0,26.0,19.0,5.0,14.0,7.0,9.0,8.0,3.0,0.0,0.0,0.0,1.0
1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,1.0,5.0,26.0,14.0,7.0,11.0,7.0,7.0,1.0,4.0,2.0,1.0,1.0,0.0
1722210,Denov tumani,Денауский район,Denau district,104.0,24.0,166.0,141.0,65.0,71.0,63.0,106.0,102.0,70.0,2.0,2.0,4.0,2.0
1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,21.0,5.0,37.0,21.0,7.0,14.0,10.0,21.0,17.0,18.0,0.0,1.0,3.0,0.0
1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,46.0,12.0,36.0,20.0,7.0,20.0,13.0,15.0,23.0,18.0,0.0,0.0,1.0,1.0
1722215,Qiziriq tumani,Кизирикский район,Kizirik district,16.0,5.0,20.0,20.0,3.0,7.0,6.0,9.0,9.0,11.0,2.0,1.0,1.0,0.0
1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,32.0,3.0,92.0,84.0,43.0,63.0,35.0,46.0,53.0,36.0,6.0,11.0,5.0,2.0
1722220,Termiz tumani,Термезский район,Termiz district,5.0,2.0,18.0,13.0,3.0,5.0,6.0,5.0,7.0,4.0,1.0,1.0,0.0,0.0
1722221,Uzun tumani,Узунский район,Uzun district,38.0,15.0,62.0,24.0,21.0,24.0,23.0,21.0,22.0,12.0,4.0,2.0,6.0,2.0
1722223,Sherobod tumani,Шерабадский район,Sherabad district,23.0,4.0,32.0,24.0,13.0,13.0,9.0,16.0,22.0,12.0,1.0,0.0,0.0,0.0
1722226,Sho‘rchi tumani,Шурчинский район,Shurchi district,11.0,2.0,51.0,33.0,20.0,27.0,25.0,27.0,26.0,13.0,0.0,3.0,0.0,0.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,169.0,168.0,125.0,114.0,86.0,64.0,61.0,53.0,62.0,57.0,12.0,3.0,10.0,7.0
